area_sqft,bedroom_num,bathroom_num,balcony_num,property_type_code,facing_code,age_years,price_per_sqft,total_rooms,room_bath_ratio,price
1010.0,2.0,2.0,2.0,0.0,2.0,3.0,0.1405940594059406,4.0,1.0,142.0
2520.06768,4.0,4.0,3.0,1.0,2.0,5.0,0.11904442185457495,8.0,1.0,300.0
532.0,2.0,2.0,1.0,0.0,4.0,3.0,0.08928571428571429,4.0,1.0,47.5
1300.0,3.0,3.0,2.0,0.0,2.0,15.0,0.1,6.0,1.0,130.0
591.0512399999999,2.0,2.0,1.0,0.0,3.0,3.0,0.07105982892447701,4.0,1.0,42.0
1970.02728,4.0,4.0,1.0,0.0,8.0,3.0,0.08883125719964649,8.0,1.0,175.0
1600.0,3.0,2.0,2.0,0.0,6.0,7.5,0.065625,5.0,1.5,105.0
1750.01112,3.0,3.0,3.0,0.0,3.0,1.0,0.11428498808624714,6.0,1.0,200.0
1980.0378,3.0,3.0,2.0,0.0,7.0,3.0,0.06313010792016192,6.0,1.0,125.0
2500.04664,5.0,5.0,3.0,1.0,3.0,7.5,0.25999514953049035,10.0,1.0,650.0
2025.03132,3.0,3.0,3.0,0.0,6.0,3.0,0.09135661170909692,6.0,1.0,185.0
850.0330799999999,2.0,3.0,3.0,0.0,2.0,3.0,0.15293522459149472,5.0,0.6666666666666666,130.0
1615.0,3.0,4.0,3.0,0.0,8.0,3.0,0.09907120743034056,7.0,0.75,160.0
3557.07144,5.0,4.0,3.0,0.0,3.0,3.0,0.1169501391852844,9.0,1.25,416.0
4337.03088,4.0,4.0,3.0,0.0,7.0,7.5,0.14987211711990392,8.0,1.0,650.0
2094.99732,4.0,4.0,3.0,0.0,1.0,1.0,0.050119395856792794,8.0,1.0,105.0
1666.05192,3.0,2.0,2.0,0.0,3.0,7.5,0.05101881818905139,5.0,1.5,85.0
1726.0073999999995,3.0,3.0,2.0,0.0,4.0,3.0,0.06894524322433382,6.0,1.0,119.0
1500.0,3.0,3.0,3.0,0.0,4.0,3.0,0.15666666666666668,6.0,1.0,235.0
899.97804,2.0,1.0,1.0,0.0,3.0,3.0,0.03166743935218686,3.0,2.0,28.5
3350.07972,4.0,4.0,3.0,0.0,3.0,1.0,0.11940014370762496,8.0,1.0,400.0
1522.99836,3.0,3.0,3.0,0.0,7.0,5.0,0.05384116106336451,6.0,1.0,82.0
1419.9868799999997,3.0,3.0,2.0,0.0,3.0,15.0,0.08802898235228766,6.0,1.0,125.0
2491.0,3.0,3.0,3.0,0.0,4.0,7.5,0.10638297872340426,6.0,1.0,265.0
2700.04176,4.0,5.0,2.0,1.0,3.0,15.0,0.22221878523834387,9.0,0.8,600.0
3240.07164,5.0,4.0,2.0,1.0,3.0,15.0,0.16974933307338846,9.0,1.25,550.0
2349.99648,4.0,4.0,3.0,0.0,6.0,7.5,0.11489378911750542,8.0,1.0,270.0
1240.04,3.0,3.0,3.0,0.0,8.0,3.0,0.14112447985548854,6.0,1.0,175.0
906.00588,6.0,6.0,3.0,1.0,3.0,15.0,0.25386148707997347,12.0,1.0,230.0
788.0,2.0,2.0,2.0,0.0,7.0,1.0,0.13959390862944163,4.0,1.0,110.0
700.0,2.0,2.0,3.0,0.0,3.0,5.0,0.11142857142857143,4.0,1.0,78.0
2249.99892,4.0,5.0,2.0,1.0,3.0,1.0,0.3866668522667557,9.0,0.8,869.9999999999999
54.03527999999999,2.0,1.0,3.0,1.0,3.0,15.0,1.3879820739339188,3.0,2.0,75.0
2403.063,7.0,7.0,3.0,1.0,5.0,15.0,0.20598710895219974,14.0,1.0,495.0
1399.9658399999998,3.0,3.0,3.0,0.0,3.0,15.0,0.12786026264755146,6.0,1.0,179.0
2727.0594,5.0,7.0,3.0,1.0,3.0,7.5,0.18884810503210894,12.0,0.7142857142857143,515.0
1350.02088,6.0,6.0,3.0,1.0,3.0,3.0,0.2592552494447345,12.0,1.0,350.0
